current_path,content_type,current_owner,target_path,target_owner,action,reason,risk,references_to_update,tests_required,manual_approval
"pyproject.toml","build and dependency metadata","repository","pyproject.toml","repository","keep","retain one manual project and build truth","medium","requirements.txt; README.md; release routine","metadata version test; build and wheel smoke test","required_before_dependency_policy_change"
"requirements.txt","environment dependency list","repository","requirements.txt","repository","review_manually","resolve drift with pyproject.toml and decide whether the retained file is manual input or a generated artifact","high","README.md; setup instructions","fresh environment install; import smoke test","required"
".pre-commit-config.yaml","local quality automation","repository",".pre-commit-config.yaml","repository","review_manually","current Windows-specific auto-fix commands are not a portable quality contract","medium","UPDATE_ROUTINES.md; developer setup","manual hook dry run on supported platforms","required_for_hook_change"
"[missing] .github/workflows/","CI configuration","none",".github/workflows/quality.yml","repository","review_manually","a restricted synthetic-data quality profile would improve reproducibility","medium","README.md; UPDATE_ROUTINES.md","CI parity test against Local Fast and Restricted profiles","required_for_ci_and_external_network"
"src/ma_core/","shared foundation package","ma_core","src/ma_core/","ma_core","keep","neutral contracts and compliance foundation are appropriate","low","module README","existing ma_core and compliance tests","not_required"
"src/ma_validation/","shared validation contract package","ma_validation","src/ma_validation/","ma_validation","keep","generic diagnostics and release decisions must remain domain-neutral","low","module README","existing validation tests; import contract test","not_required"
"src/ma_database/","database integration package","ma_database","src/ma_database/","ma_database","keep","target package already represents neutral persistence infrastructure","medium","alembic.ini; migrations; module README","database configuration and migration smoke tests","required_before_database_scope_change"
"src/ma_building/paths.py","building path helper","ma_building","src/ma_core/paths.py","ma_core","split","extract only workspace-root resolution and retain building-specific relative paths at the domain owner","high","ma_building imports; config examples; docs commands","path contract tests from checkout and explicit workspace root","required"
"src/ma_technical/paths.py","technical path helper","ma_technical","src/ma_core/paths.py","ma_core","split","extract only workspace-root resolution and retain technical-specific relative paths at the domain owner","high","ma_technical imports; config examples; docs commands","path contract tests from checkout and explicit workspace root","required"
"src/ma_zones/paths.py","zones path helper","ma_zones","src/ma_core/paths.py","ma_core","split","extract only workspace-root resolution and retain zone-specific relative paths at the domain owner","high","ma_zones imports; config examples; docs commands","path contract tests from checkout and explicit workspace root","required"
